title,_id,subject,language,Level
الخلية العصبية,170fe2d366f478b8f9c60be7d202795d,Science,Arabic,"Upper Primary,Lower Secondary,Upper Secondary"
Social Sciences 1st SA,1821756c4d1feb17e6f1f073bfcae534,Science,Somali,Lower Primary
Urinary Tract Infection,185288e083b6fab174c1cd7ca99a9f09,Health & Medicine,English,Professional
Osteoporosis,185288e083b6fab174c1cd7ca9cdece3,Health & Medicine,English,Professional
Chlamydia,185288e083b6fab174c1cd7ca9e5547b,Agriculture,English,Professional
ICT Basic Skills 02 - Text-Based Productivity Tools,1876489269085804cbba552f17dd2f49,Technology,eng,Upper Secondary
Addition and Subtraction 01 - Introduction to Addition,1938ff4f734fedd7e9673c08b4004a4d,Math,English,Early Education
Addition and Subtraction 02 - Introduction to Subtraction,1938ff4f734fedd7e9673c08b400591b,Math,English,Early Education
Addition and Subtraction 03 - Pieces of Fruit,1938ff4f734fedd7e9673c08b4006126,Math,English,Early Education
Addition and Subtraction 04 - Making 5,1938ff4f734fedd7e9673c08b40068bb,Math,English,Early Education
Addition and Subtraction 05 - Adding to 10,1938ff4f734fedd7e9673c08b4007003,Math,English,Early Education
Addition and Subtraction 06 - Getting to 10 by Filling Boxes,1938ff4f734fedd7e9673c08b4007b21,Math,English,Early Education
Addition and Subtraction 07 - Addition Word Problems with 10,1938ff4f734fedd7e9673c08b40088f2,Math,English,Early Education
Addition and Subtraction 08 - Relating Addition and Subtraction,1938ff4f734fedd7e9673c08b400934b,Math,English,Early Education
Addition and Subtraction 09 - Subtraction Word Problems within 10,1938ff4f734fedd7e9673c08b4009d4e,Math,English,Early Education
Addition and Subtraction 10 - Adding within 20,1938ff4f734fedd7e9673c08b400a4a9,Math,English,Early Education
Addition and Subtraction 11 - Example Adding within 20,1938ff4f734fedd7e9673c08b400a9af,Math,English,Early Education
Addition and Subtraction 12 - Subtracting within 20,1938ff4f734fedd7e9673c08b400ac91,Math,English,Early Education
Addition and Subtraction 13 - Adding 3 Numbers,1938ff4f734fedd7e9673c08b400b2e4,Math,English,Early Education
Addition and Subtraction 14 - Equal Sign,1938ff4f734fedd7e9673c08b400bcdf,Math,English,Early Education
Addition and Subtraction 15 - Sea Monsters and Superheroes,1938ff4f734fedd7e9673c08b400c576,Math,English,Early Education
Addition and Subtraction 16 - Exercising Gorillas,1938ff4f734fedd7e9673c08b400d185,Math,English,Early Education
Addition and Subtraction 17 - Comparison Word Problems,1938ff4f734fedd7e9673c08b400dc8e,Math,English,Early Education
Addition and Subtraction 18 - More Comparison Word Problems,1938ff4f734fedd7e9673c08b400e678,Math,English,Early Education
Addition and Subtraction 19 - Understanding Place Value when Adding Ones,1938ff4f734fedd7e9673c08b400f01d,Math,English,Early Education
Addition and Subtraction 20 - Understanding Place Value While Adding Tens,1938ff4f734fedd7e9673c08b400fa49,Math,English,Early Education
Addition and Subtraction 21 - Adding Two Digit Numbers without Regrouping,1938ff4f734fedd7e9673c08b401077c,Math,English,Early Education
Addition and Subtraction 22 - Addition with Regrouping,1938ff4f734fedd7e9673c08b4010871,Math,English,Early Education
Addition and Subtraction 23 - Addition Using Groups of 10 Intro,1938ff4f734fedd7e9673c08b40111b2,Math,English,Early Education
Addition and Subtraction 24 - Adding by Getting to Group of 10 First,1938ff4f734fedd7e9673c08b40111d6,Math,English,Early Education
